Player id,Country
228624,Chile
370062,Australia
349576,Ecuador
361222,England
228942,Italy
298677,Netherlands
355023,Cameroon
379264,Mexico
234405,USA
299442,Germany
359993,Bosnia & Herzegovina
379985,Russia
356933,Australia
353379,Iran
362649,Greece
270714,Spain
367558,Ivory Coast
303034,Spain
229051,Australia
349568,Ecuador
367920,Spain
321734,Japan
302381,Germany
358738,Netherlands
358694,Germany
312987,Costa Rica
228686,Columbia
319460,Switzerland
295149,Australia
291398,South Korea
332293,Ivory Coast
228691,Columbia
358881,Russia
350129,Mexico
312234,Australia
356748,England
318688,Argentina
311850,Ghana
319436,Netherlands
317056,France
356189,England
319428,Netherlands
367343,Russia
359995,Bosnia & Herzegovina
365556,USA
306410,Australia
290931,Cameroon
350003,Japan
306780,Italy
374529,Bosnia & Herzegovina
274329,South Korea
274283,South Korea
356518,South Korea
288824,Italy
329092,Mexico
319432,Netherlands
370438,Cameroon
270948,Spain
323574,Ghana
365747,Bosnia & Herzegovina
366309,Algeria
350124,Mexico
305382,Uruguay
319413,Greece
380069,Germany
319340,France
274281,South Korea
368009,Nigeria
336434,France
323556,Greece
370523,Ivory Coast
375453,Portugal
356710,Nigeria
364088,Algeria
356712,Nigeria
312116,Uruguay
358869,Russia
379942,Algeria
321736,Japan
379974,Costa Rica
356466,Japan
371042,Mexico
269071,Ghana
336869,Ecuador
270400,Honduras
358106,Belgium
320375,Cameroon
313021,Netherlands
379808,Bosnia & Herzegovina
376349,Portugal
358009,England
376285,Algeria
358885,Russia
336485,Croatia
379952,Germany
313051,Netherlands
339117,Australia
379164,Australia
306364,Australia
346731,Iran
307541,Costa Rica
355859,Cameroon
313410,Spain
330565,England
315614,Columbia
358732,Netherlands
380004,Ivory Coast
373555,USA
359440,France
308082,Mexico
369546,Columbia
313559,Switzerland
376360,Ivory Coast
367557,Ivory Coast
359223,Italy
358101,Bosnia & Herzegovina
370522,Ivory Coast
339116,Australia
380060,Cameroon
368708,Portugal
315436,Nigeria
356704,Columbia
312014,Nigeria
336791,Cameroon
370469,Ghana
362645,Greece
379736,Germany
369392,England
315424,Nigeria
376230,Bosnia & Herzegovina
336085,Netherlands
339987,Croatia
368860,France
336098,Netherlands
368973,USA
379939,Algeria
379911,Belgium
368655,Uruguay
369094,USA
332827,Ecuador
336043,England
336450,England
319482,Uruguay
367415,Bosnia & Herzegovina
380663,Belgium
306818,South Korea
360642,Columbia
269859,Spain
356676,Switzerland
369026,Croatia
309420,Italy
379165,Australia
369050,Croatia
380000,Croatia
380009,Honduras
379910,Belgium
